"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"219368","205812-Priya Engineering Projects Private Limited","Green","BR2","09/02/24","CfO-Fresh","Granted","221177","09/02/24","AW-126300","AW-126300","31/12/38","67893--09/02/2024"
"219264","154835-Sattvanidhi Private Limited","Green","RCH","08/02/24","CfE-Expand","Granted","221138","09/02/24","CTE-126299","CTE-126299","08/09/29","67892--09/02/2024"
"218554","208212-Nithin Sai Constructions","Green","BLY","30/01/24","CfE-Fresh","Granted","221003","09/02/24","CTE-126298","CTE-126298","29/01/29","67891--09/02/2024"
"219010","38181-Shri. Sai Hospital","Orange","BE1","07/02/24","CfO-Renewal","Granted","221052","09/02/24","AW-341854","AW-341854","06/02/29","67890--09/02/2024"
"217514","207605-Soruppu Dall Industries","Green","BLY","30/01/24","CfO-Renewal","Granted","221160","09/02/24","AW-126297","AW-126297","31/12/38","67889--09/02/2024"
"211256","180625-Poornima Ayurvedic Soap Industries","Green","MNG","09/02/24","CfO-Renewal","Granted","221168","09/02/24","W-126296","W-126296","31/12/34","67888--09/02/2024"
"214210","33275-Sagar Art Glass","Green","B11","09/02/24","CfO-Renewal","Granted","221163","09/02/24","AW-126295","AW-126295","31/12/37","67887--09/02/2024"
"218755","206909-M/s Harigovardhan Renewable Energy Private Limited","Green","TMK","09/02/24","CfO-Fresh","Granted","221145","09/02/24","AW-126294","AW-126294","31/12/38","67886--09/02/2024"
"214216","154671-Bake Wish Private Limited","Green","B07","09/02/24","CfO-Fresh","Rejected","221159","09/02/24","AW-Rejected","AW-Rejected","","67885--09/02/2024"
"216184","19213-Radel Electronics Pvt Ltd.,","Green","B07","24/01/24","CfO-Renewal","Granted","220756","09/02/24","AW-126293","AW-126293","31/12/38","67884--09/02/2024"
"217575","28925-Sri Durgadevi Stone Crusher","Orange","HVR","06/02/24","CfO-Renewal","Granted","221021","09/02/24","AW-341853","AW-341853","31/03/24","67883--09/02/2024"
"211586","180438-Ctrl S Bangalore Private Limited","Green","B07","09/11/23","CfO-Renewal","Granted","218980","09/02/24","AW-126292","AW-126292","31/12/37","67882--09/02/2024"
