"Inw","Industry Name","Industry Colour","Regional Office","Inw Dt","Inw Type","Inw Status","Insp ID","Grt Dt","Consent No","Uploaded Doc","Validity","e_outwardval"
"31076","40514-Galaxy Cottons","Green","RCH","08/05/18","CfE-Fresh","Granted","94764","08/05/18","CTE-106429","CTE-106429","07/05/20","10848--08/05/2018"
"31043","40507-Abhi Cement Bricks Industry","Green","RCH","08/05/18","CfE-Fresh","Granted","94761","08/05/18","CTE-106428","CTE-106428","07/05/20","10847--08/05/2018"
"25297","10113-Ge Be Private Limited","Red","B10","21/02/18","CfE-Expand","Granted","93062","08/05/18","CTE-306126","CTE-306126","30/06/22","10846--08/05/2018"
"30423","39997-Sai Krupa Industries","Green","B06","08/05/18","CfO-Fresh","Granted","94766","08/05/18","AW-106427","AW-106427","31/12/26","10845--08/05/2018"
"30991","40376- lakshmi Venkateshwar Industries","Green","GUL","08/05/18","CfO-Renewal","Granted","94765","08/05/18","AW-106426","AW-106426","31/12/25","10844--08/05/2018"
"30405","31376-Kor Ginning And Oil Mills Pvt Ltd.,","Green","DHW","04/05/18","CfO-Renewal","Granted","94708","08/05/18","AW-106425","AW-106425","31/12/25","10843--08/05/2018"
"24537","12956-Durgashree Coaters Pvt. Ltd.,","Red","B06","25/10/17","CfO-Renewal","Granted","91000","08/05/18","AW-306125","AW-306125","30/06/22","10842--08/05/2018"
"25601","35614-Standard Screws Industries","Green","B04","12/03/18","CfO-Renewal","Granted","93476","08/05/18","AW-306124","AW-306124","30/06/22","10841--08/05/2018"
"24585","13141-Alvin Engineers","Red","B06","24/10/17","CfO-Renewal","Granted","90999","08/05/18","AW-306123","AW-306123","30/06/22","10840--08/05/2018"
"30514","39704-Sri Lakshmi Granite","Green","TMK","08/05/18","CfE-Fresh","Granted","94757","08/05/18","CTE-106424","CTE-106424","07/05/23","10839--08/05/2018"
"23099","13133-Shreyas Enterprises","Red","B06","13/07/17","CfO-Renewal","Granted","89510","08/05/18","AW-306122","AW-306122","30/06/22","10838--08/05/2018"
"18095","11432-Naptha Resins & Chemicals Pvt Ltd,","Red","B11","09/02/17","CfO-Re Apply","Granted","87660","08/05/18","AW-306121","AW-306121","30/06/21","10837--08/05/2018"
"16668","10438-Sri Balaji Cement and Power Limited","Red","GUL","01/10/16","CfO-Expand","Granted","86241","08/05/18","AWH-306120","AWH-306120","30/09/21","10836--08/05/2018"
"29029","13071-Sree Lakshmi Enterprises","Red","B04","27/03/18","CfO-Renewal","Granted","93887","08/05/18","AW-306119","AW-306119","30/06/23","10835--08/05/2018"
"25511","12668-Sree Bhagyalakshmi Powder Coaters,","Red","B06","20/11/17","CfO-Renewal","Granted","91495","08/05/18","AW-306118","AW-306118","30/06/22","10834--08/05/2018"
"23426","33269-Bioorganics and Applied Materials Pvt. Ltd.,","Red","B11","21/03/18","CfO-Renewal","Granted","93675","08/05/18","AW-306117","AW-306117","30/06/22","10833--08/05/2018"
"29929","10076-Muddapur Limestone Mine of Ms. J. K. Cements Ltd.","Red","BGK","19/04/18","CfO-Renewal","Granted","94313","08/05/18","AW-306116","AW-306116","31/03/21","10832--08/05/2018"
"21910","33670-M\s. Maxi Bond,","Red","B06","09/10/17","CfO-Renewal","Granted","90786","08/05/18","AW-306115","AW-306115","30/06/22","10831--08/05/2018"
"25418","34851-Vedashree Powder Coaters,","Red","B06","29/11/17","CfO-Renewal","Granted","91676","08/05/18","AW-306114","AW-306114","30/06/22","10830--08/05/2018"
"22525","12739-Supreme Metal Finishers","Red","B06","07/09/17","CfO-Renewal","Granted","90376","08/05/18","AW-306113","AW-306113","30/06/22","10829--08/05/2018"
"29928","10077-Halki Limestone Mine of Ms. J. K. Cements Ltd.","Red","BGK","19/04/18","CfO-Renewal","Granted","94312","07/05/18","AW-306112","AW-306112","31/03/21","10828--07/05/2018"
"28150","37622-Dscign Biosys","Orange","B09","12/04/18","CfE-Fresh","Granted","94242","07/05/18","CTE-106423","CTE-106423","11/04/23","10827--07/05/2018"
"25821","15134-Unique Granites Pvt.Ltd","Green","B02","07/05/18","CfO-Renewal","Granted","94743","07/05/18","AW-106422","AW-106422","31/12/26","10826--07/05/2018"
"30394","31545-Tejas Autocam","Green","B05","07/05/18","CfO-Fresh","Granted","94747","07/05/18","AW-106421","AW-106421","31/12/27","10825--07/05/2018"
"30357","10562-Shahi Exports Pvt. Ltd., Unit-8","Green","B06","05/05/18","CfO-Expand","Granted","94728","07/05/18","AW-106420","AW-106420","31/12/22","10824--07/05/2018"
"30837","40167-Naren Electronics Company","Green","B06","05/05/18","CfO-Fresh","Granted","94734","07/05/18","AW-106419","AW-106419","31/12/25","10823--07/05/2018"
"28562","38666-Bangalore Resorts & Club Private Limited","Green","B09","20/03/18","CfO-Renewal","Granted","94726","07/05/18","AW-106418","AW-106418","31/12/26","10822--07/05/2018"
"29898","39568-Prakash Spun Pipe Manufacturers","Green","DVG","07/05/18","CfO-Renewal","Granted","94741","07/05/18","AW-106417","AW-106417","31/12/17","10821--07/05/2018"
"28707","35528-A. K. Kittur Veneers Pvt. Ltd.,","Orange","BE1","07/05/18","CfO-Fresh","Granted","94738","07/05/18","AW-106416","AW-106416","31/12/27","10820--07/05/2018"
"30696","39987-Venus Tec Agrro Oils Corporation","Green","B05","05/05/18","CfO-Renewal","Granted","94737","05/05/18","W-106415","W-106415","31/12/26","10819--05/05/2018"
"27060","20339-Sriram Eco Raksh Computer Services Pvt Ltd","Red","B02","08/02/18","CfO-Renewal","Granted","92863","05/05/18","W-306111","W-306111","30/06/22","10818--05/05/2018"
"27453","11667-Greenback Apparels Private Limited","Green","BR2","03/05/18","HWM-Renewal","Granted","94667","05/05/18","106414","106414","31/12/22","10817--05/05/2018"
"25011","16106-Kerox Chemicals Pvt Ltd","Orange","B07","07/04/18","CfO-Renewal","Granted","94085","05/05/18","AW-306110","AW-306110","30/09/21","10816--05/05/2018"
"28364","17498-Konar Engineering Services","Orange","B07","09/04/18","CfO-Renewal","Granted","94108","05/05/18","AW-306109","AW-306109","30/09/22","10815--05/05/2018"
"24988","12006-Haveri District Co-Operative Milk Producers Societies Union Limited","Orange","HVR","16/03/18","CfO-Renewal","Granted","93649","05/05/18","AW-306108","AW-306108","30/09/22","10814--05/05/2018"
"24890","12010-Haveri District Co-Operative Milk Producers Societies Union Limited","Orange","HVR","30/01/18","CfO-Renewal","Granted","92933","05/05/18","AW-306107","AW-306107","30/09/22","10813--05/05/2018"
"21862","16827-National Industries Company","Orange","B07","05/03/18","CfO-Renewal","Granted","93286","05/05/18","AW-306106","AW-306106","30/09/21","10812--05/05/2018"
"30818","39963- Sri Balaji Granites,","Green","BR1","05/05/18","CfO-Fresh","Granted","94711","05/05/18","W-106413","W-106413","04/05/28","10811--05/05/2018"
"30359","39893-Albero Kitchens Private Limited","Green","RMN","05/05/18","CfO-Fresh","Granted","94703","05/05/18","AW-106412","AW-106412","31/12/27","10810--05/05/2018"
"29865","25045-Hipl India Private Limited","Green","RMN","04/05/18","CfO-Fresh","Granted","94680","05/05/18","AW-106411","AW-106411","31/12/27","10809--05/05/2018"
"27927","37972-Vaishnavi Dhall Mill","Green","B05","05/05/18","CfO-Renewal","Granted","94722","05/05/18","AW-106410","AW-106410","31/12/25","10808--05/05/2018"
"23683","34312-Meghana Clay Products","Green","BR3","13/10/17","CfO-Fresh","Rejected","90853","05/05/18","AW-Rejected","AW-Rejected","",""
